text,label
"A wonderful experience from beginning to end.",1
"Completely pointless. I want my two hours back.",0
"The chemistry between the leads is undeniable.",1
"Incoherent mess. The editor clearly gave up.",0
"Smart, funny, and surprisingly touching.",1
"Painfully slow with no payoff whatsoever.",0
"One of the finest performances I have ever witnessed.",1
"Amateurish in every department. A chore to sit through.",0
"Refreshing and original. A breath of fresh air.",1
"Derivative and dull. We have seen it all before.",0
