text,label
"This movie was absolutely fantastic, one of the best I have seen in years.",1
"Terrible film. Complete waste of time and money.",0
"The acting was superb and the storyline kept me hooked throughout.",1
"I fell asleep halfway through. Nothing interesting happens.",0
"Brilliant performances by the entire cast. Highly recommended!",1
"Dull, predictable, and painfully long. Avoid this one.",0
"A masterpiece of modern cinema. I was moved to tears.",1
"The worst film I have seen this decade. Embarrassingly bad.",0
"Heartwarming and funny in equal measure. Loved every minute.",1
"Plot made no sense. The dialogue was cringe-worthy throughout.",0
"Stunning visuals and a gripping narrative. A must-watch.",1
"Boring from start to finish. Not a single memorable scene.",0
"The director has crafted something truly special here.",1
"Poorly written, poorly acted. A disaster of a film.",0
"Genuinely moving and beautifully shot. Instant classic.",1
"I kept checking the time. That is never a good sign.",0
"An emotional rollercoaster that left me breathless.",1
"Flat characters and a nonsensical plot ruin what could have been good.",0
"Delightful and surprising. I cannot wait to watch it again.",1
"Overhyped and underwhelming. Expected much more.",0
